time,gFx,gFy,gFz,0
18:14:25:208,1.1949,0.1261,0.6555,1.381
18:14:25:211,1.1140,0.1380,0.6426,1.307
18:14:25:212,1.0300,0.1495,0.6404,1.237
18:14:25:214,0.9684,0.1588,0.6392,1.187
18:14:25:218,0.9357,0.1632,0.6326,1.158
18:14:25:220,0.9284,0.1642,0.6160,1.143
18:14:25:221,0.9354,0.1634,0.5910,1.135
18:14:25:223,0.9423,0.1610,0.5668,1.127
18:14:25:225,0.9389,0.1566,0.5500,1.115
18:14:25:227,0.9215,0.1502,0.5407,1.095
18:14:25:229,0.8873,0.1407,0.5304,1.059
18:14:25:231,0.8350,0.1253,0.5114,1.003
18:14:25:235,0.7745,0.1036,0.4865,0.935
18:14:25:236,0.7090,0.0762,0.4574,0.861
18:14:25:237,0.6437,0.0457,0.4266,0.787
18:14:25:239,0.5883,0.0151,0.3993,0.723
18:14:25:241,0.5509,-0.0144,0.3848,0.682
18:14:25:242,0.5389,-0.0410,0.3902,0.675
18:14:25:245,0.5433,-0.0518,0.4002,0.684
18:14:25:246,0.5702,-0.0694,0.4320,0.725
18:14:25:248,0.6132,-0.0843,0.4757,0.787
18:14:25:254,0.6628,-0.0948,0.5258,0.857
18:14:25:255,0.7109,-0.0987,0.5761,0.927
18:14:25:256,0.7527,-0.0989,0.6245,0.990
18:14:25:258,0.7894,-0.0967,0.6712,1.048
18:14:25:259,0.8226,-0.0904,0.7247,1.108
18:14:25:261,0.8473,-0.0811,0.7862,1.168
18:14:25:263,0.8600,-0.0743,0.8331,1.209
18:14:25:264,0.8668,-0.0711,0.8493,1.225
18:14:25:272,0.8758,-0.0677,0.8383,1.224
18:14:25:273,0.8873,-0.0591,0.8119,1.214
18:14:25:274,0.8981,-0.0459,0.7826,1.202
18:14:25:275,0.9027,-0.0308,0.7557,1.188
18:14:25:276,0.8988,-0.0129,0.7300,1.169
18:14:25:277,0.8871,0.0076,0.7049,1.145
18:14:25:279,0.8707,0.0274,0.6831,1.119
18:14:25:281,0.8502,0.0432,0.6687,1.096
18:14:25:282,0.8326,0.0525,0.6587,1.077
18:14:25:286,0.8302,0.0564,0.6438,1.066
18:14:25:288,0.8343,0.0557,0.6257,1.058
18:14:25:290,0.8355,0.0530,0.6081,1.048
18:14:25:290,0.8326,0.0489,0.5918,1.035
18:14:25:292,0.8265,0.0447,0.5788,1.023
18:14:25:294,0.8148,0.0440,0.5732,1.010
18:14:25:297,0.7972,0.0486,0.5749,0.997
18:14:25:299,0.7832,0.0491,0.5800,0.989
18:14:25:303,0.7713,0.0442,0.5874,0.984
18:14:25:305,0.7603,0.0376,0.5967,0.980
18:14:25:306,0.7532,0.0310,0.6059,0.980
18:14:25:308,0.7495,0.0242,0.6179,0.985
18:14:25:309,0.7493,0.0176,0.6348,0.995
18:14:25:311,0.7520,0.0112,0.6560,1.011
18:14:25:313,0.7576,0.0061,0.6797,1.030
18:14:25:315,0.7637,0.0032,0.7012,1.049
18:14:25:317,0.7664,0.0027,0.7093,1.057
18:14:25:318,0.7693,0.0032,0.7256,1.070
18:14:25:322,0.7608,0.0120,0.7447,1.078
18:14:25:324,0.7346,0.0454,0.7664,1.078
18:14:25:325,0.7153,0.0640,0.7972,1.090
18:14:25:326,0.7063,0.0652,0.7923,1.080
18:14:25:329,0.7058,0.0660,0.7503,1.049
18:14:25:331,0.7129,0.0638,0.7012,1.018
18:14:25:333,0.7256,0.0547,0.6604,0.998
18:14:25:339,0.7417,0.0413,0.6225,0.983
18:14:25:341,0.7576,0.0261,0.5837,0.969
18:14:25:343,0.7713,0.0107,0.5449,0.955
18:14:25:344,0.7801,-0.0032,0.5087,0.941
18:14:25:346,0.7818,-0.0134,0.4743,0.923
18:14:25:347,0.7749,-0.0186,0.4408,0.900
18:14:25:348,0.7635,-0.0186,0.4095,0.874
18:14:25:349,0.7512,-0.0142,0.3843,0.852
18:14:25:351,0.7400,-0.0066,0.3650,0.833
18:14:25:355,0.7310,0.0015,0.3531,0.820
18:14:25:357,0.7229,0.0095,0.3492,0.812
18:14:25:358,0.7163,0.0166,0.3560,0.809
18:14:25:360,0.7153,0.0198,0.3741,0.817
18:14:25:362,0.7222,0.0183,0.3978,0.835
18:14:25:363,0.7310,0.0137,0.4210,0.854
18:14:25:364,0.7359,0.0086,0.4430,0.869
18:14:25:366,0.7371,0.0064,0.4635,0.881
18:14:25:369,0.7388,0.0049,0.4835,0.893
18:14:25:370,0.7420,-0.0005,0.5033,0.907
18:14:25:372,0.7459,-0.0083,0.5155,0.917
18:14:25:374,0.7495,-0.0159,0.5243,0.925
18:14:25:376,0.7495,-0.0220,0.5380,0.932
18:14:25:378,0.7481,-0.0264,0.5583,0.943
18:14:25:380,0.7476,-0.0300,0.5808,0.957
18:14:25:382,0.7471,-0.0325,0.6035,0.971
18:14:25:385,0.7473,-0.0347,0.6272,0.986
18:14:25:387,0.7510,-0.0366,0.6521,1.005
18:14:25:388,0.7549,-0.0393,0.6778,1.026
18:14:25:390,0.7547,-0.0435,0.7017,1.042
18:14:25:392,0.7517,-0.0479,0.7225,1.054
18:14:25:394,0.7498,-0.0498,0.7310,1.059
18:14:25:396,0.7464,-0.0520,0.7430,1.065
18:14:25:398,0.7420,-0.0520,0.7476,1.065
18:14:25:400,0.7395,-0.0511,0.7476,1.063
18:14:25:403,0.7437,-0.0506,0.7462,1.065
18:14:25:405,0.7493,-0.0511,0.7437,1.067
18:14:25:406,0.7508,-0.0530,0.7379,1.064
18:14:25:408,0.7456,-0.0557,0.7288,1.054
18:14:25:410,0.7354,-0.0579,0.7171,1.039
18:14:25:414,0.7224,-0.0591,0.7054,1.021
18:14:25:415,0.7104,-0.0577,0.6954,1.006
18:14:25:416,0.7021,-0.0515,0.6846,0.992
18:14:25:419,0.6982,-0.0452,0.6692,0.979
18:14:25:421,0.7043,-0.0413,0.6543,0.973
18:14:25:422,0.7158,-0.0418,0.6431,0.973
18:14:25:425,0.7173,-0.0511,0.6245,0.962
18:14:25:427,0.7212,-0.0613,0.6064,0.953
18:14:25:429,0.7334,-0.0643,0.6006,0.958
18:14:25:431,0.7371,-0.0611,0.5974,0.959
18:14:25:440,0.7273,-0.0384,0.5945,0.950
18:14:25:442,0.7256,-0.0254,0.6059,0.956
18:14:25:443,0.7229,-0.0232,0.6103,0.957
18:14:25:443,0.7383,-0.0122,0.6001,0.962
18:14:25:447,0.7537,0.0024,0.5896,0.968
18:14:25:449,0.7708,0.0115,0.5925,0.984
18:14:25:450,0.7955,0.0161,0.6081,1.013
18:14:25:454,0.8231,0.0169,0.6323,1.050
18:14:25:455,0.8490,0.0105,0.6602,1.087
18:14:25:456,0.8712,0.0007,0.6880,1.121
18:14:25:457,0.8817,0.0042,0.7103,1.144
18:14:25:458,0.8812,0.0203,0.7266,1.155
18:14:25:459,0.8883,0.0264,0.7379,1.168
18:14:25:460,0.8993,0.0347,0.7457,1.182
18:14:25:460,0.9034,0.0555,0.7484,1.188
18:14:25:463,0.9047,0.0677,0.7481,1.190
18:14:25:464,0.9096,0.0887,0.7437,1.193
18:14:25:466,0.9176,0.1070,0.7357,1.196
18:14:25:472,0.9313,0.1236,0.7269,1.204
18:14:25:474,0.9477,0.1366,0.7181,1.213
18:14:25:475,0.9650,0.1417,0.7059,1.220
18:14:25:476,0.9782,0.1439,0.6890,1.221
18:14:25:477,0.9904,0.1434,0.6702,1.220
18:14:25:478,1.0102,0.1366,0.6533,1.226
18:14:25:480,1.0332,0.1253,0.6389,1.235
18:14:25:482,1.0554,0.1141,0.6269,1.246
18:14:25:485,1.0754,0.1007,0.6169,1.256
18:14:25:487,1.0886,0.0860,0.6069,1.261
18:14:25:488,1.0950,0.0726,0.5998,1.262
18:14:25:491,1.0974,0.0603,0.5967,1.261
18:14:25:492,1.0947,0.0462,0.5915,1.255
18:14:25:494,1.0867,0.0298,0.5822,1.243
18:14:25:496,1.0725,0.0156,0.5730,1.225
18:14:25:498,1.0544,0.0056,0.5634,1.204
18:14:25:500,1.0381,-0.0039,0.5551,1.185
18:14:25:503,1.0278,-0.0161,0.5473,1.172
18:14:25:504,1.0207,-0.0318,0.5370,1.161
18:14:25:506,1.0092,-0.0489,0.5219,1.143
18:14:25:508,0.9931,-0.0647,0.5041,1.121
18:14:25:510,0.9743,-0.0801,0.4860,1.096
18:14:25:512,0.9577,-0.0965,0.4691,1.074
18:14:25:514,0.9435,-0.1116,0.4537,1.055
18:14:25:516,0.9337,-0.1256,0.4437,1.043
18:14:25:519,0.9286,-0.1390,0.4838,1.058
18:14:25:521,0.9328,-0.1524,0.5466,1.094
18:14:25:522,0.9462,-0.1630,0.5576,1.112
18:14:25:524,0.9648,-0.1717,0.5385,1.119
18:14:25:526,0.9914,-0.1832,0.5155,1.132
18:14:25:528,1.0222,-0.1959,0.5028,1.155
18:14:25:530,1.0515,-0.2074,0.4999,1.181
18:14:25:532,1.0791,-0.2167,0.5019,1.208
18:14:25:536,1.0911,-0.2201,0.5036,1.220
18:14:25:538,1.1092,-0.2250,0.5099,1.240
18:14:25:539,1.1179,-0.2270,0.5190,1.252
18:14:25:540,1.1155,-0.2253,0.5295,1.254
18:14:25:542,1.1048,-0.2196,0.5405,1.248
18:14:25:544,1.0891,-0.2135,0.5493,1.238
18:14:25:546,1.0696,-0.2069,0.5549,1.222
18:14:25:548,1.0447,-0.2003,0.5593,1.202
18:14:25:550,1.0217,-0.1952,0.5654,1.184
18:14:25:555,1.0046,-0.1903,0.5710,1.172
18:14:25:557,0.9912,-0.1867,0.5739,1.161
18:14:25:558,0.9819,-0.1859,0.5725,1.153
18:14:25:559,0.9738,-0.1886,0.5688,1.144
18:14:25:560,0.9653,-0.1908,0.5651,1.135
18:14:25:562,0.9533,-0.1913,0.5583,1.122
18:14:25:564,0.9367,-0.1891,0.5485,1.102
18:14:25:566,0.9179,-0.1852,0.5366,1.080
18:14:25:571,0.9015,-0.1805,0.5216,1.058
18:14:25:573,0.8893,-0.1771,0.5048,1.038
18:14:25:574,0.8795,-0.1752,0.4889,1.022
18:14:25:575,0.8700,-0.1759,0.4757,1.007
18:14:25:576,0.8604,-0.1805,0.4637,0.994
18:14:25:578,0.8541,-0.1879,0.4530,0.984
18:14:25:580,0.8529,-0.1962,0.4444,0.980
18:14:25:582,0.8570,-0.2035,0.4401,0.983
18:14:25:584,0.8653,-0.2106,0.4369,0.990
18:14:25:587,0.8753,-0.2174,0.4354,0.999
18:14:25:588,0.8846,-0.2223,0.4347,1.007
18:14:25:590,0.8895,-0.2265,0.4315,1.011
18:14:25:592,0.8900,-0.2306,0.4281,1.011
18:14:25:594,0.8851,-0.2360,0.4249,1.006
18:14:25:596,0.8746,-0.2433,0.4220,0.997
18:14:25:598,0.8602,-0.2538,0.4188,0.985
18:14:25:600,0.8436,-0.2651,0.4151,0.971
18:14:25:603,0.8248,-0.2763,0.4122,0.956
18:14:25:605,0.8047,-0.2868,0.4088,0.940
18:14:25:606,0.7862,-0.2968,0.4046,0.925
18:14:25:608,0.7696,-0.3054,0.4000,0.911
18:14:25:611,0.7561,-0.3134,0.3961,0.900
18:14:25:612,0.7505,-0.3171,0.3944,0.896
18:14:25:614,0.7410,-0.3218,0.3924,0.889
18:14:25:616,0.7322,-0.3240,0.3912,0.881
18:14:25:619,0.7241,-0.3254,0.3909,0.875
18:14:25:620,0.7185,-0.3252,0.3949,0.872
18:14:25:623,0.7153,-0.3235,0.4039,0.873
18:14:25:625,0.7156,-0.3205,0.4149,0.878
18:14:25:626,0.7207,-0.3171,0.4261,0.887
18:14:25:628,0.7297,-0.3120,0.4364,0.898
18:14:25:631,0.7400,-0.3066,0.4466,0.910
18:14:25:632,0.7488,-0.3020,0.4550,0.920
18:14:25:634,0.7539,-0.2976,0.4576,0.924
18:14:25:636,0.7571,-0.2937,0.4554,0.925
18:14:25:638,0.7598,-0.2915,0.4493,0.923
18:14:25:640,0.7649,-0.2900,0.4408,0.923
18:14:25:642,0.7718,-0.2895,0.4300,0.923
18:14:25:644,0.7793,-0.2907,0.4193,0.924
18:14:25:646,0.7881,-0.2954,0.4127,0.930
18:14:25:648,0.7959,-0.3012,0.4071,0.936
18:14:25:650,0.8013,-0.3073,0.3988,0.938
18:14:25:657,0.8055,-0.3139,0.3885,0.939
18:14:25:658,0.8079,-0.3222,0.3790,0.939
18:14:25:659,0.8096,-0.3303,0.3690,0.939
18:14:25:660,0.8123,-0.3374,0.3575,0.939
18:14:25:661,0.8167,-0.3430,0.3475,0.940
18:14:25:662,0.8223,-0.3467,0.3389,0.943
18:14:25:664,0.8297,-0.3506,0.3306,0.948
18:14:25:665,0.8387,-0.3533,0.3211,0.953
18:14:25:668,0.8470,-0.3555,0.3150,0.959
18:14:25:671,0.8543,-0.3560,0.3164,0.966
18:14:25:673,0.8607,-0.3547,0.3245,0.974
18:14:25:674,0.8656,-0.3538,0.3350,0.982
18:14:25:676,0.8692,-0.3542,0.3455,0.989
18:14:25:678,0.8710,-0.3555,0.3526,0.994
18:14:25:680,0.8685,-0.3547,0.3587,0.993
18:14:25:682,0.8658,-0.3533,0.3626,0.992
18:14:25:684,0.8560,-0.3491,0.3716,0.986
18:14:25:689,0.8431,-0.3452,0.3792,0.977
18:14:25:691,0.8287,-0.3406,0.3861,0.966
18:14:25:692,0.8140,-0.3347,0.3914,0.954
18:14:25:693,0.8021,-0.3293,0.3968,0.944
18:14:25:694,0.7898,-0.3235,0.4041,0.935
18:14:25:696,0.7745,-0.3164,0.4093,0.923
18:14:25:698,0.7554,-0.3105,0.4134,0.907
18:14:25:699,0.7398,-0.3073,0.4205,0.897
18:14:25:702,0.7315,-0.3093,0.4264,0.893
18:14:25:705,0.7319,-0.3120,0.4457,0.904
