time,gFx,gFy,gFz,0
22:49:07:784,0.9042,0.0332,0.7137,1.165
22:49:07:785,0.8971,0.0239,0.7379,1.174
22:49:07:788,0.9000,0.0120,0.7601,1.190
22:49:07:790,0.9069,0.0002,0.7772,1.206
22:49:07:792,0.9130,-0.0098,0.7875,1.217
22:49:07:794,0.9152,-0.0188,0.7875,1.218
22:49:07:796,0.9157,-0.0271,0.7765,1.211
22:49:07:797,0.9144,-0.0342,0.7630,1.202
22:49:07:799,0.9110,-0.0393,0.7535,1.193
22:49:07:802,0.9064,-0.0420,0.7479,1.186
22:49:07:804,0.9022,-0.0406,0.7410,1.178
22:49:07:808,0.8981,-0.0366,0.7310,1.168
22:49:07:810,0.8917,-0.0332,0.7227,1.158
22:49:07:811,0.8846,-0.0305,0.7129,1.147
22:49:07:812,0.8766,-0.0259,0.6963,1.130
22:49:07:813,0.8648,-0.0198,0.6721,1.106
22:49:07:816,0.8473,-0.0129,0.6443,1.075
22:49:07:817,0.8245,-0.0073,0.6201,1.042
22:49:07:819,0.7981,-0.0015,0.6018,1.010
22:49:07:823,0.7735,0.0064,0.5864,0.982
22:49:07:824,0.7542,0.0164,0.5749,0.960
22:49:07:825,0.7410,0.0288,0.5686,0.947
22:49:07:827,0.7327,0.0410,0.5642,0.939
22:49:07:829,0.7283,0.0503,0.5590,0.933
22:49:07:831,0.7285,0.0564,0.5488,0.928
22:49:07:833,0.7339,0.0589,0.5375,0.926
22:49:07:836,0.7434,0.0557,0.5238,0.925
22:49:07:837,0.7559,0.0479,0.5109,0.926
22:49:07:840,0.7720,0.0374,0.5038,0.935
22:49:07:841,0.7916,0.0247,0.5031,0.949
22:49:07:844,0.8008,0.0178,0.5019,0.956
22:49:07:845,0.8172,0.0039,0.4958,0.965
22:49:07:847,0.8297,-0.0100,0.4848,0.970
22:49:07:849,0.8353,-0.0237,0.4694,0.966
22:49:07:852,0.8287,-0.0374,0.4491,0.950
22:49:07:853,0.8140,-0.0479,0.4278,0.927
22:49:07:855,0.8008,-0.0547,0.4132,0.908
22:49:07:857,0.7908,-0.0559,0.3958,0.891
22:49:07:859,0.7791,-0.0520,0.3721,0.870
22:49:07:861,0.7637,-0.0462,0.3506,0.847
22:49:07:863,0.7449,-0.0359,0.3286,0.820
22:49:07:865,0.7224,-0.0210,0.3003,0.788
22:49:07:867,0.6936,-0.0059,0.2656,0.749
22:49:07:869,0.6648,0.0088,0.2295,0.710
22:49:07:873,0.6486,0.0244,0.1965,0.686
22:49:07:874,0.6530,0.0430,0.1728,0.685
22:49:07:875,0.6709,0.0618,0.1571,0.701
22:49:07:877,0.6855,0.0777,0.1339,0.712
22:49:07:879,0.6921,0.0923,0.1024,0.715
22:49:07:881,0.6963,0.1055,0.0687,0.717
22:49:07:883,0.7034,0.1170,0.0365,0.723
22:49:07:885,0.7146,0.1283,-0.0029,0.735
22:49:07:887,0.7349,0.1407,-0.0476,0.758
22:49:07:889,0.7608,0.1529,-0.0862,0.788
22:49:07:892,0.7779,0.1559,-0.1101,0.808
22:49:07:893,0.7955,0.1510,-0.1314,0.826
22:49:07:895,0.8172,0.1446,-0.1524,0.849
22:49:07:897,0.8316,0.1366,-0.1561,0.861
22:49:07:899,0.8372,0.1266,-0.1431,0.863
22:49:07:901,0.8311,0.1182,-0.1223,0.852
22:49:07:904,0.8096,0.1156,-0.0989,0.828
22:49:07:906,0.7810,0.1165,-0.0789,0.799
22:49:07:910,0.7571,0.1192,-0.0630,0.775
22:49:07:911,0.7368,0.1251,-0.0471,0.756
22:49:07:912,0.7100,0.1353,-0.0317,0.732
22:49:07:913,0.6779,0.1444,-0.0092,0.703
22:49:07:915,0.6503,0.1527,0.0054,0.680
22:49:07:917,0.6120,0.1671,-0.0019,0.648
22:49:07:919,0.5856,0.1842,-0.0136,0.629
22:49:07:921,0.6103,0.2016,-0.0100,0.658
22:49:07:923,0.6621,0.2221,-0.0065,0.714
22:49:07:925,0.7070,0.2453,-0.0246,0.764
22:49:07:927,0.7559,0.2646,-0.0556,0.818
22:49:07:929,0.8069,0.2722,-0.0879,0.870
22:49:07:931,0.8595,0.2670,-0.1255,0.920
22:49:07:933,0.9120,0.2592,-0.1656,0.972
22:49:07:935,0.9584,0.2577,-0.2135,1.023
22:49:07:937,1.0009,0.2634,-0.2548,1.073
22:49:07:940,1.0354,0.2680,-0.2807,1.113
22:49:07:942,1.0498,0.2712,-0.2958,1.130
22:49:07:943,1.0437,0.2773,-0.3017,1.128
22:49:07:945,1.0156,0.2822,-0.2987,1.103
22:49:07:947,0.9775,0.2871,-0.2887,1.067
22:49:07:950,0.9364,0.2885,-0.2753,1.026
22:49:07:951,0.8890,0.2839,-0.2665,0.980
22:49:07:953,0.8348,0.2788,-0.2711,0.930
22:49:07:956,0.7830,0.2778,-0.2870,0.888
22:49:07:958,0.7376,0.2753,-0.2946,0.850
22:49:07:959,0.7038,0.2704,-0.2943,0.819
22:49:07:961,0.6887,0.2702,-0.2960,0.807
22:49:07:963,0.6980,0.2834,-0.3039,0.823
22:49:07:965,0.7271,0.3071,-0.3122,0.860
22:49:07:967,0.7537,0.3281,-0.3151,0.892
22:49:07:969,0.7610,0.3362,-0.3207,0.903
22:49:07:971,0.7464,0.3364,-0.3293,0.894
22:49:07:974,0.7295,0.3403,-0.3417,0.886
22:49:07:975,0.7175,0.3547,-0.3588,0.890
22:49:07:977,0.7038,0.3775,-0.3757,0.896
22:49:07:979,0.6833,0.4026,-0.3925,0.899
22:49:07:981,0.6667,0.4292,-0.4158,0.910
22:49:07:985,0.6645,0.4564,-0.4436,0.936
22:49:07:986,0.6770,0.4840,-0.4812,0.977
22:49:07:987,0.6990,0.5096,-0.5347,1.032
22:49:07:992,0.7227,0.5338,-0.6007,1.095
22:49:07:994,0.7437,0.5556,-0.6549,1.149
22:49:07:995,0.7569,0.5753,-0.6791,1.182
22:49:07:997,0.7686,0.5922,-0.6818,1.200
22:49:07:998,0.7889,0.6027,-0.6884,1.222
22:49:08:000,0.8253,0.6017,-0.7038,1.254
22:49:08:001,0.8773,0.5946,-0.7172,1.292
22:49:08:003,0.9220,0.5871,-0.7199,1.320
22:49:08:006,0.9574,0.5744,-0.7101,1.334
22:49:08:008,0.9970,0.5512,-0.6935,1.344
22:49:08:009,1.0283,0.5150,-0.6698,1.340
22:49:08:014,1.0332,0.4720,-0.6376,1.311
22:49:08:015,1.0432,0.4307,-0.5997,1.286
22:49:08:016,1.0779,0.3953,-0.5579,1.283
22:49:08:019,1.1199,0.3728,-0.5193,1.296
22:49:08:020,1.1492,0.3626,-0.4846,1.305
22:49:08:021,1.1634,0.3562,-0.4480,1.303
22:49:08:024,1.1727,0.3494,-0.4187,1.300
22:49:08:026,1.1829,0.3403,-0.4092,1.304
22:49:08:027,1.1973,0.3244,-0.4050,1.311
22:49:08:029,1.2103,0.2961,-0.3955,1.312
22:49:08:031,1.2230,0.2582,-0.3835,1.311
22:49:08:033,1.2152,0.2157,-0.3652,1.290
22:49:08:035,1.1986,0.1735,-0.3315,1.257
22:49:08:037,1.1988,0.1327,-0.2868,1.240
22:49:08:040,1.2052,0.0923,-0.2337,1.231
22:49:08:042,1.1900,0.0552,-0.1734,1.203
22:49:08:043,1.1512,0.0269,-0.1131,1.156
22:49:08:045,1.0930,0.0198,-0.0723,1.095
22:49:08:047,1.0354,0.0320,-0.0598,1.038
22:49:08:049,0.9933,0.0569,-0.0754,0.999
22:49:08:051,0.9682,0.0936,-0.1175,0.982
22:49:08:053,0.9589,0.1331,-0.1714,0.986
22:49:08:056,0.9562,0.1710,-0.2276,1.002
22:49:08:060,0.9572,0.2064,-0.2758,1.022
22:49:08:062,0.9543,0.2316,-0.3139,1.036
22:49:08:063,0.9499,0.2470,-0.3417,1.045
22:49:08:064,0.9565,0.2602,-0.3632,1.061
22:49:08:065,0.9777,0.2724,-0.3977,1.095
22:49:08:067,0.9899,0.2741,-0.4377,1.121
22:49:08:070,0.9858,0.2670,-0.4746,1.130
22:49:08:071,0.9816,0.2592,-0.5003,1.135
22:49:08:074,0.9875,0.2499,-0.5203,1.146
22:49:08:075,0.9951,0.2467,-0.5291,1.155
22:49:08:077,1.0139,0.2443,-0.5457,1.178
22:49:08:079,1.0249,0.2421,-0.5645,1.196
22:49:08:083,1.0312,0.2416,-0.5807,1.209
22:49:08:084,1.0420,0.2446,-0.5890,1.222
22:49:08:085,1.0588,0.2511,-0.5902,1.239
22:49:08:088,1.0708,0.2580,-0.5768,1.245
22:49:08:092,1.0669,0.2612,-0.5533,1.232
22:49:08:094,1.0637,0.2636,-0.5250,1.217
22:49:08:095,1.0674,0.2619,-0.4956,1.208
22:49:08:096,1.0820,0.2558,-0.4675,1.209
22:49:08:098,1.1008,0.2441,-0.4412,1.214
22:49:08:100,1.1096,0.2294,-0.4172,1.210
22:49:08:101,1.1074,0.2157,-0.3969,1.198
22:49:08:104,1.0991,0.2018,-0.3772,1.182
22:49:08:105,1.0877,0.1886,-0.3500,1.160
22:49:08:111,1.0781,0.1798,-0.3193,1.141
22:49:08:112,1.0718,0.1725,-0.2916,1.126
22:49:08:114,1.0727,0.1683,-0.2748,1.123
22:49:08:115,1.0762,0.1681,-0.2701,1.125
22:49:08:115,1.0869,0.1698,-0.2748,1.136
22:49:08:117,1.1223,0.1649,-0.2824,1.171
22:49:08:119,1.1468,0.1595,-0.2946,1.196
22:49:08:122,1.1194,0.1593,-0.3185,1.176
22:49:08:123,1.0405,0.1664,-0.3410,1.109
22:49:08:127,0.9567,0.1823,-0.3342,1.032
22:49:08:129,0.8932,0.2011,-0.2953,0.966
22:49:08:130,0.8543,0.2201,-0.2633,0.927
22:49:08:133,0.8502,0.2350,-0.2621,0.927
22:49:08:135,0.8739,0.2411,-0.2868,0.958
22:49:08:136,0.9105,0.2355,-0.3259,1.001
22:49:08:137,0.9540,0.2204,-0.3686,1.050
22:49:08:139,0.9858,0.1976,-0.4114,1.088
22:49:08:142,0.9985,0.1708,-0.4458,1.107
22:49:08:145,1.0034,0.1410,-0.4624,1.112
22:49:08:146,0.9987,0.1099,-0.4570,1.101
22:49:08:147,0.9797,0.0828,-0.4348,1.071
22:49:08:149,0.9604,0.0647,-0.4023,1.039
22:49:08:153,0.9455,0.0555,-0.3662,1.011
22:49:08:155,0.9254,0.0545,-0.3278,0.980
22:49:08:156,0.9054,0.0603,-0.2897,0.950
22:49:08:157,0.8822,0.0667,-0.2616,0.921
22:49:08:161,0.8580,0.0745,-0.2511,0.896
22:49:08:163,0.8443,0.0843,-0.2533,0.885
22:49:08:164,0.8436,0.0909,-0.2601,0.887
22:49:08:165,0.8536,0.0953,-0.2638,0.898
22:49:08:167,0.8604,0.0938,-0.2687,0.906
22:49:08:169,0.8551,0.0889,-0.2701,0.900
22:49:08:174,0.8463,0.0880,-0.2723,0.893
22:49:08:176,0.8375,0.0941,-0.2797,0.887
22:49:08:177,0.8314,0.1029,-0.2931,0.887
22:49:08:178,0.8223,0.1094,-0.3068,0.884
22:49:08:180,0.8050,0.1114,-0.3178,0.872
22:49:08:181,0.7911,0.1102,-0.3273,0.862
22:49:08:183,0.7889,0.1080,-0.3317,0.862
22:49:08:186,0.7942,0.1041,-0.3317,0.866
22:49:08:187,0.7967,0.0945,-0.3300,0.866
22:49:08:189,0.8084,0.0794,-0.3188,0.870
