time,gFx,gFy,gFz,0
18:23:48:942,0.9797,0.1129,0.2668,1.031
18:23:48:944,0.9872,0.1075,0.2510,1.034
18:23:48:945,0.9921,0.1041,0.2363,1.034
18:23:48:947,0.9960,0.1026,0.2246,1.035
18:23:48:949,1.0007,0.1033,0.2155,1.037
18:23:48:950,1.0014,0.1055,0.2106,1.037
18:23:48:952,0.9953,0.1009,0.2536,1.041
18:23:48:954,0.9958,0.0782,0.3870,1.081
18:23:48:957,0.9653,0.0095,0.5791,1.135
18:23:48:959,0.8690,-0.0523,0.6186,1.076
18:23:48:961,0.8707,0.0423,0.3802,0.960
18:23:48:963,0.9213,0.1236,0.1830,0.957
18:23:48:965,0.9511,0.1263,0.1298,0.977
18:23:48:966,0.9547,0.0904,0.1447,0.977
18:23:48:969,0.9435,0.0577,0.1554,0.964
18:23:48:971,0.9350,0.0435,0.1447,0.952
18:23:48:973,0.9311,0.0391,0.1239,0.944
18:23:48:975,0.9303,0.0354,0.1041,0.940
18:23:48:978,0.9337,0.0340,0.0868,0.942
18:23:48:980,0.9401,0.0359,0.0694,0.946
18:23:48:981,0.9499,0.0381,0.0553,0.955
18:23:48:983,0.9599,0.0398,0.0465,0.964
18:23:48:985,0.9650,0.0406,0.0433,0.969
18:23:48:986,0.9738,0.0430,0.0382,0.978
18:23:48:988,0.9799,0.0459,0.0355,0.984
18:23:48:991,0.9850,0.0496,0.0360,0.990
18:23:48:992,0.9890,0.0537,0.0338,0.994
18:23:48:995,0.9907,0.0574,0.0296,0.996
18:23:48:997,0.9892,0.0579,0.0306,0.994
18:23:48:999,0.9865,0.0562,0.0345,0.992
18:23:49:001,0.9843,0.0530,0.0355,0.989
18:23:49:002,0.9809,0.0503,0.0340,0.986
18:23:49:004,0.9838,0.0508,0.0357,0.989
18:23:49:007,0.9953,0.0557,0.0384,1.001
18:23:49:009,0.9992,0.0555,0.0396,1.005
18:23:49:010,1.0021,0.0513,0.0404,1.007
18:23:49:012,1.0170,0.0523,0.0428,1.022
18:23:49:014,1.0427,0.0623,0.0382,1.048
18:23:49:017,1.0388,0.0606,0.0284,1.044
18:23:49:018,1.0200,0.0432,0.0159,1.023
18:23:49:026,1.0100,0.0249,0.0030,1.011
18:23:49:028,1.0031,0.0083,-0.0014,1.003
18:23:49:029,0.9926,-0.0061,0.0005,0.992
18:23:49:030,0.9794,-0.0183,0.0064,0.979
18:23:49:030,0.9665,-0.0276,0.0147,0.966
18:23:49:031,0.9550,-0.0347,0.0269,0.954
18:23:49:033,0.9330,-0.0457,0.0460,0.934
18:23:49:035,0.9010,-0.0572,0.0611,0.903
18:23:49:037,0.8739,-0.0601,0.0648,0.876
18:23:49:038,0.8536,-0.0586,0.0687,0.856
18:23:49:041,0.8380,-0.0533,0.0817,0.842
18:23:49:043,0.8250,-0.0428,0.1010,0.832
18:23:49:045,0.8177,-0.0320,0.1232,0.828
18:23:49:047,0.8189,-0.0205,0.1418,0.833
18:23:49:049,0.8306,-0.0071,0.1552,0.848
18:23:49:050,0.8492,0.0056,0.1620,0.868
18:23:49:052,0.8697,0.0139,0.1628,0.889
18:23:49:054,0.8876,0.0188,0.1564,0.905
18:23:49:058,0.8961,0.0213,0.1501,0.913
18:23:49:060,0.9127,0.0291,0.1317,0.927
