time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.686195,-0.0181,-0.0006,0.2063,0.207
1.694385,-0.0018,-0.0016,0.1657,0.166
1.702301,0.0070,-0.0121,0.1513,0.152
1.710253,-0.0056,-0.0151,0.1538,0.155
1.718121,-0.0108,-0.0036,0.1466,0.147
1.734143,-0.0303,0.0055,0.1347,0.138
1.736075,-0.0376,0.0337,0.1036,0.115
1.757631,-0.0592,0.0377,0.0821,0.108
1.759879,-0.0592,0.0205,0.0798,0.101
1.761599,-0.0399,0.0275,0.1085,0.119
1.766108,-0.0451,0.0296,0.1301,0.141
1.773706,-0.0221,0.0295,0.1228,0.128
1.781898,0.0032,0.0225,0.1443,0.146
1.790729,0.0213,0.0064,0.1705,0.172
1.798042,0.0158,0.0169,0.2230,0.224
1.805893,0.0298,-0.0090,0.2612,0.263
1.820044,0.0253,-0.0138,0.2828,0.284
1.822815,0.0116,-0.0097,0.3021,0.302
1.851370,-0.0040,0.0149,0.2640,0.264
1.853626,-0.0194,0.0483,0.2046,0.211
1.855010,-0.0298,0.0766,0.1475,0.169
1.858013,-0.0402,0.0833,0.0953,0.133
1.864050,-0.0725,0.0688,0.0861,0.132
1.869322,-0.0714,0.0286,0.1080,0.133
1.877393,-0.0803,0.0227,0.1704,0.190
1.886506,-0.0778,-0.0065,0.2159,0.230
1.894627,-0.0522,-0.0046,0.2040,0.211
1.901040,-0.0340,0.0236,0.1968,0.201
1.910018,-0.0091,0.0207,0.1943,0.196
1.916982,0.0209,0.0346,0.2158,0.220
1.925107,0.0200,0.0314,0.2063,0.210
1.932948,0.0073,0.0137,0.1967,0.197
1.941130,0.0121,0.0078,0.2280,0.228
1.951059,0.0096,0.0066,0.2209,0.221
1.957007,0.0072,0.0221,0.2331,0.234
1.970841,-0.0169,0.0234,0.2164,0.218
1.973044,-0.0224,0.0418,0.1757,0.182
1.981325,-0.0401,0.0508,0.1661,0.178
1.988786,-0.0505,0.0406,0.1494,0.163
1.996734,-0.0680,0.0566,0.1590,0.182
2.004791,-0.0539,0.0699,0.1471,0.172
2.017160,-0.0539,0.0616,0.1185,0.144
2.020941,-0.0273,0.0649,0.0852,0.111
2.037295,-0.0008,0.0566,0.0805,0.098
2.038907,0.0349,0.0345,0.1045,0.115
2.047562,0.0510,0.0226,0.1164,0.129
2.052835,0.0331,-0.0006,0.1402,0.144
2.060967,0.0008,0.0099,0.1807,0.181
2.068760,-0.0076,0.0108,0.1901,0.191
2.078247,-0.0111,-0.0100,0.1708,0.171
2.084772,-0.0190,-0.0238,0.1802,0.183
2.092862,-0.0005,-0.0280,0.1993,0.201
2.100692,0.0200,-0.0157,0.2039,0.205
2.108743,-0.0027,-0.0082,0.1679,0.168
2.121106,-0.0180,0.0041,0.1630,0.164
2.125041,-0.0522,0.0144,0.1676,0.176
2.155873,-0.0532,0.0226,0.1651,0.175
2.157593,-0.0496,0.0142,0.1624,0.170
2.160212,-0.0533,0.0105,0.1646,0.173
2.161680,-0.0355,0.0331,0.2051,0.211
2.170394,-0.0295,0.0435,0.2001,0.207
2.172055,-0.0279,0.0630,0.1785,0.191
2.186512,-0.0597,0.0943,0.1257,0.168
2.188726,-0.0533,0.0802,0.1232,0.156
2.196892,-0.0611,0.0807,0.1590,0.189
2.203859,-0.0568,0.0647,0.1972,0.215
2.212297,-0.0547,0.0512,0.2689,0.279
2.221581,-0.0288,0.0207,0.2808,0.283
2.236314,0.0039,0.0114,0.2616,0.262
2.238620,0.0009,0.0093,0.2423,0.243
2.258005,-0.0119,-0.0024,0.2446,0.245
2.260293,-0.0149,0.0099,0.2302,0.231
2.262172,-0.0347,0.0152,0.2157,0.219
2.271266,-0.0282,0.0180,0.1725,0.176
2.275589,-0.0168,0.0305,0.1748,0.178
2.283384,-0.0027,0.0384,0.2034,0.207
2.291227,0.0115,0.0271,0.2416,0.243
2.299561,0.0164,0.0084,0.2536,0.254
2.307392,0.0115,0.0035,0.2105,0.211
2.318499,0.0018,0.0055,0.1483,0.148
2.323401,-0.0319,0.0053,0.1124,0.117
2.335181,-0.0463,-0.0089,0.1291,0.137
2.339460,-0.0869,-0.0107,0.1386,0.164
2.347279,-0.1009,-0.0170,0.1625,0.192
2.355174,-0.1077,-0.0065,0.1744,0.205
2.363095,-0.0999,-0.0011,0.1409,0.173
2.371051,-0.0756,0.0207,0.0834,0.114
2.379009,-0.0729,0.0471,0.0523,0.101
2.387117,-0.0588,0.0569,0.0307,0.087
2.395599,-0.0174,0.0718,0.0161,0.076
2.402795,0.0064,0.0727,0.0302,0.079
2.412591,0.0273,0.0669,0.0538,0.090
2.419299,0.0316,0.0543,0.1372,0.151
2.426969,0.0247,0.0629,0.2446,0.254
2.434818,0.0335,0.0275,0.3163,0.319
2.443063,0.0349,0.0198,0.3715,0.374
2.452988,0.0366,0.0108,0.4008,0.403
2.458779,0.0383,0.0007,0.4064,0.408
2.471659,0.0223,-0.0079,0.3882,0.389
2.474889,0.0092,0.0092,0.3750,0.375
2.482702,-0.0262,0.0193,0.3402,0.342
2.490743,-0.0317,0.0298,0.3028,0.306
2.499107,-0.0370,0.0505,0.2317,0.240
2.506639,-0.0394,0.0455,0.1747,0.185
2.520595,-0.0416,0.0557,0.1151,0.134
2.522812,-0.0451,0.0499,0.0864,0.109
2.548986,-0.0396,0.0641,0.0623,0.098
2.550821,-0.0512,0.0501,0.0214,0.075
2.552168,-0.0342,0.0556,-0.0171,0.068
2.554773,-0.0243,0.0424,-0.0174,0.052
2.562898,-0.0024,0.0391,0.0062,0.040
2.570528,0.0027,0.0336,0.0657,0.074
2.583588,0.0342,0.0041,0.1132,0.118
2.586546,0.0463,-0.0185,0.1680,0.175
2.594836,0.0344,-0.0531,0.2275,0.236
2.602619,0.0009,-0.0710,0.2703,0.279
2.610683,0.0058,-0.0846,0.3011,0.313
2.625524,-0.0203,-0.0697,0.3799,0.387
2.628969,-0.0204,-0.0649,0.4108,0.416
2.652564,-0.0088,-0.0323,0.3628,0.364
2.655396,-0.0020,0.0024,0.2742,0.274
2.657534,-0.0187,0.0415,0.2024,0.207
2.659243,-0.0306,0.0710,0.1425,0.162
2.667312,-0.0326,0.0910,0.1114,0.148
2.674340,-0.0298,0.0945,0.1018,0.142
2.682974,-0.0005,0.1079,0.0850,0.137
2.699566,-0.0378,0.0999,0.1162,0.158
2.701451,-0.0695,0.0922,0.1473,0.187
2.724112,-0.0671,0.0704,0.1832,0.207
2.725340,-0.0408,0.0344,0.2048,0.212
2.725934,-0.0196,0.0249,0.2383,0.240
2.744037,-0.0060,0.0226,0.2023,0.204
2.746312,0.0097,0.0130,0.1759,0.177
2.748011,-0.0104,0.0153,0.1902,0.191
2.753577,-0.0179,0.0270,0.1758,0.179
2.763997,-0.0151,0.0239,0.1472,0.150
