time,gFx,gFy,gFz,0
22:25:04:929,0.4302,-0.0545,0.8749,0.991
22:25:04:931,0.4354,-0.0464,0.9260,1.039
22:25:04:933,0.4461,-0.0525,0.9477,1.063
22:25:04:935,0.4561,-0.0679,0.9411,1.062
22:25:04:937,0.4613,-0.0904,0.9157,1.042
22:25:04:940,0.4622,-0.1160,0.8822,1.014
22:25:04:942,0.4608,-0.1415,0.8441,0.981
22:25:04:943,0.4529,-0.1622,0.8092,0.949
22:25:04:945,0.4412,-0.1735,0.7787,0.919
22:25:04:948,0.4456,-0.1666,0.7650,0.908
22:25:04:949,0.4818,-0.1476,0.7850,0.941
22:25:04:951,0.5531,-0.1322,0.8353,1.020
22:25:04:953,0.6252,-0.1224,0.8874,1.102
22:25:04:955,0.6762,-0.1116,0.9006,1.142
22:25:04:957,0.7227,-0.0965,0.8649,1.141
22:25:04:959,0.7698,-0.0801,0.8050,1.126
22:25:04:961,0.8047,-0.0711,0.7440,1.107
22:25:04:964,0.8096,-0.0772,0.6870,1.073
22:25:04:965,0.7881,-0.0877,0.6362,1.024
22:25:04:967,0.7522,-0.0938,0.5937,0.969
22:25:04:969,0.7173,-0.0950,0.5627,0.923
22:25:04:971,0.6963,-0.0919,0.5417,0.893
22:25:04:975,0.6902,-0.0836,0.5273,0.879
22:25:04:976,0.6999,-0.0694,0.5180,0.881
22:25:04:977,0.7241,-0.0542,0.5129,0.897
22:25:04:979,0.7586,-0.0418,0.5116,0.924
22:25:04:981,0.7986,-0.0337,0.5146,0.959
22:25:04:983,0.8482,-0.0291,0.5231,1.005
22:25:04:985,0.9020,-0.0264,0.5368,1.058
22:25:04:987,0.9460,-0.0254,0.5568,1.106
22:25:04:990,0.9806,-0.0257,0.5827,1.149
22:25:04:991,1.0131,-0.0257,0.6181,1.195
22:25:04:994,1.0505,-0.0247,0.6685,1.254
22:25:04:995,1.1021,-0.0193,0.7388,1.336
22:25:04:997,1.1688,-0.0066,0.8312,1.444
22:25:04:999,1.2386,0.0107,0.9353,1.563
22:25:05:001,1.2997,0.0371,1.0398,1.677
22:25:05:003,1.3102,0.1112,1.1380,1.754
22:25:05:005,1.2841,0.1876,1.2336,1.808
22:25:05:007,1.2616,0.2272,1.2443,1.805
22:25:05:009,1.2252,0.2551,1.1478,1.717
22:25:05:011,1.1600,0.2717,1.0090,1.581
22:25:05:013,1.0881,0.2724,0.8642,1.436
22:25:05:015,1.0405,0.2604,0.7318,1.318
22:25:05:018,1.0327,0.2387,0.6260,1.249
22:25:05:019,1.0520,0.2062,0.5505,1.221
22:25:05:021,1.0774,0.1644,0.5065,1.216
22:25:05:024,1.1021,0.1190,0.4933,1.225
22:25:05:026,1.1148,0.0767,0.4987,1.234
22:25:05:027,1.1048,0.0464,0.4999,1.222
