time,gFx,gFy,gFz,0
18:11:13:062,-0.2717,0.1981,1.0068,1.089
18:11:13:063,-0.3076,0.1866,1.0181,1.107
18:11:13:064,-0.3310,0.1796,1.0254,1.119
18:11:13:065,-0.3454,0.1749,1.0254,1.122
18:11:13:066,-0.3501,0.1759,1.0232,1.122
18:11:13:072,-0.3447,0.1869,1.0208,1.120
18:11:13:074,-0.3249,0.2099,1.0173,1.116
18:11:13:075,-0.2932,0.2409,1.0137,1.112
18:11:13:076,-0.2570,0.2768,1.0056,1.105
18:11:13:077,-0.2194,0.3142,0.9929,1.097
18:11:13:078,-0.1815,0.3523,0.9724,1.084
18:11:13:080,-0.1407,0.3894,0.9392,1.063
18:11:13:081,-0.0938,0.4226,0.8954,1.033
18:11:13:084,-0.0472,0.4517,0.8493,1.003
18:11:13:087,-0.0064,0.4752,0.8048,0.976
18:11:13:089,0.0327,0.4935,0.7694,0.957
18:11:13:090,0.0687,0.5104,0.7481,0.951
18:11:13:092,0.0928,0.5240,0.7315,0.948
18:11:13:094,0.1104,0.5323,0.7034,0.933
18:11:13:096,0.1268,0.5360,0.6607,0.905
18:11:13:098,0.1441,0.5328,0.6155,0.872
18:11:13:099,0.1639,0.5216,0.5795,0.842
18:11:13:103,0.1910,0.5064,0.5561,0.821
18:11:13:110,0.2296,0.4881,0.5451,0.811
18:11:13:112,0.2800,0.4661,0.5483,0.815
18:11:13:113,0.3071,0.4554,0.5537,0.821
18:11:13:114,0.3577,0.4368,0.5668,0.840
18:11:13:115,0.3985,0.4214,0.5805,0.859
18:11:13:116,0.4312,0.4077,0.5979,0.879
18:11:13:117,0.4551,0.3946,0.6211,0.901
18:11:13:118,0.4744,0.3816,0.6521,0.926
18:11:13:120,0.4913,0.3699,0.6870,0.955
18:11:13:122,0.5052,0.3591,0.7205,0.983
18:11:13:123,0.5172,0.3479,0.7530,1.009
18:11:13:126,0.5255,0.3359,0.7845,1.033
18:11:13:128,0.5292,0.3247,0.8151,1.055
18:11:13:131,0.5282,0.3161,0.8441,1.074
18:11:13:132,0.5209,0.3100,0.8727,1.092
18:11:13:134,0.5055,0.3051,0.9011,1.106
18:11:13:135,0.4825,0.3015,0.9299,1.119
18:11:13:140,0.4542,0.2976,0.9590,1.131
18:11:13:142,0.4205,0.2919,0.9873,1.141
18:11:13:143,0.3809,0.2861,1.0110,1.147
18:11:13:144,0.3330,0.2785,1.0344,1.151
18:11:13:145,0.2783,0.2690,1.0586,1.156
18:11:13:148,0.2257,0.2592,1.0779,1.160
18:11:13:150,0.1769,0.2485,1.0919,1.163
18:11:13:151,0.1292,0.2358,1.1087,1.169
18:11:13:154,0.0858,0.2226,1.1253,1.178
18:11:13:157,0.0515,0.2084,1.1412,1.189
18:11:13:158,0.0313,0.1950,1.1600,1.204
18:11:13:159,0.0213,0.1852,1.1715,1.213
18:11:13:161,0.0195,0.1793,1.1825,1.222
18:11:13:163,0.0305,0.1774,1.2189,1.258
18:11:13:166,0.0528,0.1835,1.2267,1.268
18:11:13:167,0.0867,0.1913,1.1859,1.231
18:11:13:170,0.1231,0.1998,1.1407,1.192
18:11:13:172,0.1480,0.2130,1.1031,1.161
18:11:13:175,0.1556,0.2338,1.0403,1.106
18:11:13:177,0.1473,0.2553,0.9367,1.013
18:11:13:178,0.1407,0.2617,0.8849,0.965
18:11:13:180,0.1339,0.2538,0.8969,0.973
18:11:13:182,0.1290,0.2402,0.9174,0.988
18:11:13:184,0.1446,0.2243,0.9218,0.989
18:11:13:187,0.1847,0.2060,0.9191,0.989
18:11:13:189,0.2069,0.1962,0.9194,0.991
18:11:13:190,0.2487,0.1749,0.9162,0.992
18:11:13:191,0.2849,0.1581,0.8984,0.981
18:11:13:194,0.3100,0.1495,0.8737,0.964
18:11:13:196,0.3296,0.1490,0.8627,0.961
18:11:13:198,0.3428,0.1539,0.8681,0.971
18:11:13:200,0.3479,0.1615,0.8749,0.981
18:11:13:202,0.3491,0.1722,0.8774,0.986
18:11:13:204,0.3513,0.1845,0.8703,0.983
18:11:13:207,0.3557,0.1940,0.8559,0.974
18:11:13:209,0.3713,0.1920,0.8549,0.978
18:11:13:210,0.3926,0.1815,0.8681,0.996
18:11:13:212,0.4112,0.1705,0.8864,1.017
18:11:13:214,0.4241,0.1627,0.9086,1.040
18:11:13:215,0.4280,0.1568,0.9343,1.064
18:11:13:218,0.4214,0.1537,0.9560,1.080
18:11:13:219,0.4075,0.1522,0.9726,1.089
18:11:13:223,0.3892,0.1517,0.9895,1.098
18:11:13:224,0.3647,0.1527,1.0020,1.101
18:11:13:226,0.3374,0.1524,1.0054,1.096
18:11:13:227,0.3149,0.1510,1.0012,1.085
18:11:13:230,0.3005,0.1488,0.9910,1.071
18:11:13:231,0.2924,0.1454,0.9761,1.054
18:11:13:233,0.2912,0.1405,0.9580,1.036
18:11:13:238,0.2946,0.1336,0.9382,1.017
18:11:13:240,0.3037,0.1270,0.9191,1.000
18:11:13:241,0.3200,0.1219,0.9025,0.989
18:11:13:242,0.3401,0.1190,0.8842,0.978
18:11:13:244,0.3628,0.1195,0.8607,0.965
18:11:13:245,0.3877,0.1231,0.8351,0.952
18:11:13:248,0.4146,0.1300,0.8082,0.941
18:11:13:250,0.4429,0.1390,0.7789,0.930
18:11:13:252,0.4718,0.1483,0.7479,0.920
18:11:13:254,0.5006,0.1573,0.7149,0.910
18:11:13:256,0.5282,0.1656,0.6807,0.901
18:11:13:258,0.5526,0.1737,0.6462,0.891
18:11:13:260,0.5744,0.1813,0.6120,0.882
18:11:13:262,0.5946,0.1886,0.5793,0.875
18:11:13:264,0.6120,0.1954,0.5485,0.868
18:11:13:266,0.6198,0.1989,0.5336,0.865
18:11:13:267,0.6347,0.2052,0.5058,0.860
18:11:13:271,0.6489,0.2121,0.4804,0.858
18:11:13:273,0.6635,0.2184,0.4574,0.858
18:11:13:274,0.6787,0.2235,0.4374,0.860
18:11:13:275,0.6938,0.2277,0.4203,0.865
18:11:13:277,0.7097,0.2316,0.4041,0.871
18:11:13:279,0.7246,0.2358,0.3890,0.877
18:11:13:281,0.7366,0.2392,0.3760,0.882
18:11:13:283,0.7461,0.2438,0.3653,0.887
18:11:13:286,0.7451,0.2568,0.3582,0.888
18:11:13:287,0.7302,0.2761,0.3636,0.884
18:11:13:289,0.7175,0.2814,0.3746,0.881
18:11:13:292,0.7166,0.2758,0.3760,0.879
18:11:13:294,0.7197,0.2670,0.3682,0.874
18:11:13:295,0.7227,0.2563,0.3648,0.872
18:11:13:297,0.7239,0.2411,0.3709,0.870
18:11:13:300,0.7249,0.2194,0.3824,0.869
18:11:13:302,0.7271,0.1942,0.3968,0.870
18:11:13:304,0.7327,0.1661,0.4139,0.876
18:11:13:307,0.7393,0.1322,0.4498,0.892
18:11:13:309,0.7305,0.0938,0.5344,0.926
18:11:13:310,0.6987,0.0633,0.6514,0.973
18:11:13:312,0.6579,0.0481,0.7425,1.009
18:11:13:313,0.6276,0.0430,0.7723,1.013
18:11:13:315,0.6183,0.0423,0.7486,0.988
18:11:13:320,0.6281,0.0401,0.7017,0.958
18:11:13:322,0.6474,0.0369,0.6575,0.939
18:11:13:323,0.6709,0.0322,0.6274,0.933
