time,gFx,gFy,gFz,0
17:18:25:289,-0.3589,0.7329,0.4906,1.000
17:18:25:291,-0.3599,0.7327,0.4904,1.000
17:18:25:293,-0.3613,0.7324,0.4901,1.000
17:18:25:295,-0.3628,0.7315,0.4894,1.000
17:18:25:297,-0.3635,0.7305,0.4894,0.999
17:18:25:299,-0.3650,0.7290,0.4894,0.999
17:18:25:313,-0.3660,0.7285,0.4896,0.999
17:18:25:314,-0.3662,0.7278,0.4896,0.998
17:18:25:316,-0.3672,0.7271,0.4899,0.998
17:18:25:317,-0.3687,0.7266,0.4906,0.999
17:18:25:317,-0.3696,0.7258,0.4916,0.999
17:18:25:318,-0.3706,0.7246,0.4923,0.999
17:18:25:320,-0.3733,0.7241,0.4940,1.000
17:18:25:321,-0.3755,0.7239,0.4962,1.002
17:18:25:322,-0.3775,0.7234,0.4982,1.003
17:18:25:322,-0.3787,0.7236,0.5006,1.005
17:18:25:323,-0.3799,0.7234,0.5036,1.007
17:18:25:324,-0.3809,0.7227,0.5065,1.008
17:18:25:335,-0.3816,0.7222,0.5077,1.009
17:18:25:336,-0.3819,0.7222,0.5085,1.009
17:18:25:337,-0.3811,0.7222,0.5094,1.010
17:18:25:338,-0.3801,0.7227,0.5109,1.010
17:18:25:339,-0.3797,0.7236,0.5111,1.011
17:18:25:340,-0.3789,0.7234,0.5104,1.010
17:18:25:341,-0.3787,0.7224,0.5102,1.009
17:18:25:342,-0.3784,0.7224,0.5102,1.009
17:18:25:343,-0.3787,0.7231,0.5102,1.010
17:18:25:344,-0.3787,0.7239,0.5111,1.011
17:18:25:346,-0.3794,0.7239,0.5116,1.012
17:18:25:347,-0.3801,0.7234,0.5119,1.012
17:18:25:349,-0.3814,0.7231,0.5129,1.012
17:18:25:352,-0.3833,0.7224,0.5143,1.013
17:18:25:354,-0.3850,0.7227,0.5158,1.015
17:18:25:355,-0.3865,0.7231,0.5165,1.016
17:18:25:357,-0.3889,0.7227,0.5177,1.017
17:18:25:359,-0.3904,0.7224,0.5185,1.018
17:18:25:361,-0.3904,0.7219,0.5175,1.017
17:18:25:363,-0.3899,0.7214,0.5170,1.016
17:18:25:365,-0.3894,0.7207,0.5165,1.015
17:18:25:368,-0.3892,0.7205,0.5155,1.015
17:18:25:370,-0.3882,0.7200,0.5141,1.013
17:18:25:371,-0.3872,0.7195,0.5133,1.012
17:18:25:373,-0.3850,0.7187,0.5119,1.010
17:18:25:375,-0.3833,0.7180,0.5107,1.008
17:18:25:377,-0.3819,0.7178,0.5104,1.007
17:18:25:379,-0.3806,0.7175,0.5107,1.007
17:18:25:381,-0.3801,0.7173,0.5107,1.006
17:18:25:383,-0.3797,0.7166,0.5102,1.005
17:18:25:385,-0.3797,0.7161,0.5099,1.005
17:18:25:387,-0.3801,0.7158,0.5104,1.005
17:18:25:389,-0.3799,0.7168,0.5116,1.006
17:18:25:391,-0.3806,0.7178,0.5133,1.008
17:18:25:393,-0.3814,0.7183,0.5143,1.009
17:18:25:395,-0.3823,0.7185,0.5148,1.010
17:18:25:397,-0.3828,0.7192,0.5158,1.011
17:18:25:399,-0.3843,0.7197,0.5165,1.013
17:18:25:404,-0.3853,0.7207,0.5163,1.014
17:18:25:405,-0.3862,0.7217,0.5151,1.014
17:18:25:406,-0.3862,0.7214,0.5146,1.014
17:18:25:407,-0.3845,0.7212,0.5138,1.013
17:18:25:409,-0.3838,0.7214,0.5129,1.012
17:18:25:411,-0.3831,0.7207,0.5121,1.011
17:18:25:413,-0.3821,0.7202,0.5111,1.009
17:18:25:414,-0.3801,0.7207,0.5099,1.008
17:18:25:418,-0.3779,0.7200,0.5080,1.006
17:18:25:419,-0.3765,0.7197,0.5067,1.005
17:18:25:421,-0.3753,0.7197,0.5063,1.004
17:18:25:423,-0.3745,0.7202,0.5063,1.004
17:18:25:425,-0.3738,0.7202,0.5058,1.004
17:18:25:427,-0.3735,0.7202,0.5055,1.003
17:18:25:429,-0.3740,0.7195,0.5050,1.003
17:18:25:431,-0.3740,0.7192,0.5053,1.003
17:18:25:436,-0.3740,0.7195,0.5058,1.003
17:18:25:438,-0.3745,0.7197,0.5063,1.004
