time,gFx,gFy,gFz,TgF
22:51:49:397,0.8131,-0.0371,0.6072,1.024
22:51:49:399,0.8167,-0.0533,0.6267,1.039
22:51:49:401,0.8218,-0.0708,0.6445,1.055
22:51:49:404,0.8233,-0.0938,0.6528,1.062
22:51:49:405,0.8206,-0.1236,0.6494,1.059
22:51:49:407,0.8287,-0.1539,0.6372,1.060
22:51:49:409,0.8600,-0.1779,0.6118,1.072
22:51:49:412,0.9054,-0.1901,0.5769,1.091
22:51:49:414,0.9508,-0.1869,0.5431,1.111
22:51:49:415,0.9885,-0.1727,0.5197,1.131
22:51:49:417,1.0153,-0.1561,0.5114,1.149
22:51:49:419,1.0319,-0.1405,0.5146,1.163
22:51:49:421,1.0405,-0.1266,0.5234,1.174
22:51:49:424,1.0451,-0.1143,0.5317,1.181
22:51:49:425,1.0486,-0.1014,0.5361,1.186
22:51:49:427,1.0527,-0.0877,0.5366,1.189
22:51:49:432,1.0569,-0.0735,0.5356,1.192
22:51:49:434,1.0583,-0.0589,0.5331,1.192
22:51:49:435,1.0547,-0.0454,0.5334,1.189
22:51:49:436,1.0451,-0.0327,0.5537,1.190
22:51:49:437,1.0327,-0.0232,0.5879,1.196
22:51:49:441,1.0170,-0.0176,0.6084,1.194
22:51:49:442,0.9990,-0.0142,0.6059,1.177
22:51:49:444,0.9828,-0.0105,0.5861,1.153
22:51:49:446,0.9704,-0.0046,0.5563,1.127
22:51:49:448,0.9567,0.0039,0.5273,1.101
22:51:49:449,0.9420,0.0154,0.5050,1.078
22:51:49:451,0.9276,0.0298,0.4870,1.058
22:51:49:453,0.9083,0.0432,0.4650,1.031
22:51:49:456,0.8851,0.0545,0.4352,0.998
22:51:49:457,0.8617,0.0677,0.4144,0.970
22:51:49:459,0.8424,0.0828,0.4093,0.952
22:51:49:462,0.8282,0.0994,0.4142,0.944
22:51:49:463,0.8189,0.1138,0.4225,0.943
22:51:49:465,0.8099,0.1251,0.4283,0.940
22:51:49:467,0.7547,0.1295,0.4251,0.892
22:51:49:469,0.6306,0.1275,0.4034,0.777
22:51:49:471,0.5387,0.1165,0.3599,0.677
22:51:49:473,0.5499,0.0972,0.3189,0.660
22:51:49:475,0.6271,0.0796,0.3279,0.726
22:51:49:478,0.7097,0.0723,0.4071,0.835
22:51:49:482,0.7701,0.0740,0.5292,0.951
22:51:49:484,0.8060,0.0733,0.6519,1.054
22:51:49:485,0.8267,0.0682,0.7467,1.131
22:51:49:486,0.8402,0.0584,0.8009,1.177
22:51:49:487,0.8502,0.0462,0.8129,1.192
22:51:49:489,0.8585,0.0315,0.7906,1.181
22:51:49:491,0.8683,0.0151,0.7503,1.160
22:51:49:493,0.8800,-0.0017,0.7054,1.139
22:51:49:496,0.8986,-0.0159,0.6646,1.128
22:51:49:498,0.9220,-0.0274,0.6362,1.130
22:51:49:499,0.9462,-0.0374,0.6216,1.141
22:51:49:503,0.9697,-0.0447,0.6177,1.158
22:51:49:504,0.9904,-0.0481,0.6203,1.177
22:51:49:505,1.0046,-0.0474,0.6274,1.193
22:51:49:507,1.0136,-0.0442,0.6335,1.204
22:51:49:509,1.0163,-0.0425,0.6360,1.207
22:51:49:513,1.0180,-0.0393,0.6411,1.212
22:51:49:514,1.0139,-0.0352,0.6431,1.209
22:51:49:515,1.0039,-0.0325,0.6426,1.201
22:51:49:517,0.9929,-0.0283,0.6426,1.191
22:51:49:519,0.9809,-0.0213,0.6421,1.181
22:51:49:521,0.9672,-0.0115,0.6392,1.169
22:51:49:523,0.9499,-0.0022,0.6318,1.151
22:51:49:525,0.9293,0.0054,0.6179,1.126
22:51:49:528,0.9115,0.0142,0.5974,1.100
22:51:49:531,0.8959,0.0227,0.5747,1.075
22:51:49:534,0.8805,0.0303,0.5571,1.053
22:51:49:535,0.8629,0.0362,0.5449,1.032
22:51:49:536,0.8492,0.0401,0.5341,1.016
22:51:49:538,0.8411,0.0425,0.5219,1.002
22:51:49:540,0.8338,0.0445,0.5045,0.987
22:51:49:541,0.8260,0.0474,0.4852,0.971
22:51:49:544,0.8211,0.0493,0.4681,0.958
22:51:49:551,0.8201,0.0508,0.4552,0.951
22:51:49:553,0.8194,0.0535,0.4444,0.945
22:51:49:554,0.8177,0.0569,0.4344,0.939
22:51:49:555,0.8165,0.0596,0.4293,0.936
22:51:49:556,0.8216,0.0618,0.4327,0.942
22:51:49:557,0.8367,0.0640,0.4469,0.962
22:51:49:558,0.8514,0.0677,0.4596,0.982
22:51:49:560,0.8556,0.0691,0.4642,0.988
22:51:49:573,0.8529,0.0662,0.4598,0.983
22:51:49:574,0.8519,0.0623,0.4493,0.977
22:51:49:575,0.8575,0.0596,0.4361,0.975
22:51:49:576,0.8636,0.0574,0.4195,0.973
22:51:49:577,0.8680,0.0569,0.4049,0.970
22:51:49:578,0.8668,0.0574,0.3956,0.965
22:51:49:579,0.8619,0.0591,0.3907,0.959
22:51:49:580,0.8543,0.0633,0.3885,0.951
22:51:49:581,0.8446,0.0691,0.3905,0.944
22:51:49:582,0.8350,0.0767,0.3944,0.938
22:51:49:583,0.8206,0.0855,0.3997,0.929
22:51:49:583,0.8062,0.0936,0.4029,0.919
22:51:49:586,0.7862,0.0992,0.4034,0.903
22:51:49:588,0.7608,0.1063,0.3993,0.880
22:51:49:589,0.7449,0.1136,0.3831,0.860
22:51:49:591,0.7432,0.1212,0.3489,0.845
22:51:49:594,0.7437,0.1273,0.3079,0.829
22:51:49:595,0.7424,0.1300,0.2754,0.817
22:51:49:598,0.7451,0.1336,0.2534,0.812
22:51:49:600,0.7549,0.1380,0.2383,0.817
22:51:49:605,0.7644,0.1405,0.2273,0.823
22:51:49:606,0.7774,0.1415,0.2199,0.833
22:51:49:607,0.8003,0.1427,0.2138,0.853
22:51:49:608,0.8282,0.1466,0.2094,0.879
22:51:49:609,0.8531,0.1500,0.2126,0.904
22:51:49:611,0.8751,0.1522,0.2238,0.928
22:51:49:615,0.8968,0.1559,0.2363,0.953
22:51:49:616,0.9242,0.1586,0.2461,0.982
22:51:49:618,0.9508,0.1576,0.2524,1.008
22:51:49:620,0.9716,0.1554,0.2549,1.028
22:51:49:621,0.9894,0.1544,0.2495,1.043
22:51:49:623,1.0056,0.1549,0.2373,1.056
22:51:49:625,1.0188,0.1559,0.2209,1.065
22:51:49:628,1.0232,0.1568,0.2001,1.065
22:51:49:629,1.0200,0.1566,0.1789,1.057
22:51:49:636,1.0175,0.1583,0.1623,1.052
22:51:49:637,1.0170,0.1652,0.1530,1.052
22:51:49:639,1.0139,0.1739,0.1496,1.050
22:51:49:640,1.0090,0.1827,0.1486,1.047
22:51:49:641,1.0085,0.1923,0.1474,1.048
